isotype,phi_S_n,phi_A_n,phi_R_n
IgA,0.46831593112017705,0.006187028939593602,0.5023499367158827
IgA,0.2046199617334317,0.07502568358755965,0.20290618192038495
IgA,0.09176974569501108,0.35651520376903995,0.15802130775538706
IgA,0.36707898278004425,0.07502568358755965,0.18241198422615368
IgA,0.09492547991005165,0.13863931107322508,0.2932601185184385
IgA,0.18720006018599994,0.04388810642886791,0.38316426706386564
IgA,0.2257004320768413,0.035224348284423,0.4852780402242099
IgA,0.24312033362427304,0.06362205315268774,0.272370737171471
IgA,0.09808121412509223,0.10222555180886596,0.2987562412234962
IgA,0.008962368064184496,0.23777493472362723,0.3560518413491807
IgA,0.1191616844685018,0.053306032556634346,0.4951966985431566
IgA,0.1012369483401328,0.07502568358755965,0.6520148214975692
IgA,0.19250185945420664,0.11890852374394999,0.19488285622186832
IgA,0.050618474170066395,0.13863931107322508,0.35630961294305274
IgA,0.06223174186835425,0.35651520376903995,0.1787284390984853
IgA,0.10704358218927673,0.08777357956135062,0.39469939648084396
IgA,0.4055793546708856,0.06362205315268774,0.20723539595338503
IgA,0.26685170360178595,0.053306032556634346,0.22493379005941
IgA,0.05642510801921032,0.16278609890879728,0.2125986585508966
IgA,0.23466280014102578,0.02720287761399007,0.5088512052861972
IgA,0.03269373804169741,0.19391314685253516,0.23485704453117004
IgA,0.15766205635934313,0.04388810642886791,0.48728283643569353
IgA,0.035849472256737985,0.13863931107322508,0.4607756705515309
IgA,0.1687704894766937,0.28162094681234334,0.15481107787645884
IgA,0.16346869020848703,0.053306032556634346,0.4341707361157782
IgA,0.1956575936692472,0.08777357956135062,0.26778842592622887
IgA,0.053774208385106985,0.10222555180886596,0.48531095351658665
IgA,0.2700074378168265,0.035224348284423,0.44888519615136246
IgA,0.19300669403514387,0.053306032556634346,0.35176614148695606
IgA,0.1191616844685018,0.053306032556634346,0.44548954942135616
IgA,0.29058307357929886,0.04388810642886791,0.3706591211182665
IgA,0.1012369483401328,0.07502568358755965,0.4918986364363563
IgA,0.3259277112550996,0.18251372785779824,0.10269123607942165
IgA,0.13973732023097413,0.06362205315268774,0.2870839634560894
IgA,0.008962368064184496,0.4312680565175427,0.3182026955104922
IgA,0.14289305444601472,0.04388810642886791,0.626104546991894
IgA,0.10969448182338006,0.13863931107322508,0.23095796245902314
IgA,0.1101993164043173,0.06362205315268774,0.5736877323079161
IgA,0.08015647799672324,0.13863931107322508,0.2984206375238853
IgA,0.11285021603842064,0.10222555180886596,0.26870056120811603
IgA,0.29058307357929886,0.04388810642886791,0.2840857588593932
IgA,0.10969448182338006,0.13863931107322508,0.1592061912706899
IgA,0.20727086136753506,0.11890852374394999,0.16933560793432004
IgA,0.014769001913328417,1.0,0.2851339916831175
IgA,0.14289305444601472,0.04388810642886791,0.5185214943272353
IgA,0.050618474170066395,0.13863931107322508,0.3351027880636623
IgA,0.11865684988756457,0.11890852374394999,0.24530671603647813
IgA,0.0886140114799705,0.31271645008661253,0.20587464994817736
IgA,0.1629638556275498,0.25749309461253356,0.15684359836114417
IgA,0.2009593929374539,0.23777493472362723,0.11585393690378354
other,0.10704358218927673,0.08777357956135062,0.4054922024364749
other,0.2515778671075203,0.11890852374394999,0.16889605716695907
other,0.053774208385106985,0.10222555180886596,0.42151409600383877
other,0.0775055783626199,0.08777357956135062,0.707678999625227
other,0.02373136997751291,0.23777493472362723,0.5174656953576172
other,0.2198937982276974,0.02720287761399007,0.36635071200426966
other,0.12181258410260513,0.08777357956135062,0.3879758784948835
other,0.02373136997751291,0.23777493472362723,0.34177290380185393
other,0.115501115672524,0.16278609890879728,0.16917576028756368
other,0.16346869020848703,0.053306032556634346,0.49597567696373773
other,0.02688710419255349,0.16278609890879728,0.6551727850001557
other,0.06854321029843541,0.10222555180886596,0.32764430937151784
other,0.017924736128368993,0.35651520376903995,0.4645411401685035
other,0.014769001913328417,0.31271645008661253,0.48800081920845
other,0.1160059502534612,0.07502568358755965,0.3901914290570129
other,0.08015647799672324,0.13863931107322508,0.192442461677665
other,0.15400148756336532,0.13863931107322508,0.12166919044314857
other,0.047462739955025826,0.19391314685253516,0.34488083599377795
other,0.0775055783626199,0.08777357956135062,0.5782355099855842
other,0.08646794642680439,0.07502568358755965,0.4566815642949888
other,0.2731631720318671,0.019735000080812835,0.43206632450072213
other,0.1719262236917343,0.10222555180886596,0.20255125289412423
other,0.047462739955025826,0.19391314685253516,0.31433433041109643
other,0.044811840320922475,0.11890852374394999,0.3955656302270888
