lineage,v_gene,donor,lambda_S,lambda_R,r2,n_edges
chicken_rare_festival_element_fade_chuckle_circle_bone,IGHV3-53,02,0.0,5.886491893079456,0.254803661009083,6
chicken_universe_sense_praise_desk_silk_shallow_mother,IGHV3-7,01,0.0,0.0,-0.0008401701095406278,4
chimney_owner_behind_river_ostrich_shield_chair_stamp,IGHV3-49,11,0.0,0.6575909846960802,0.2070035354788241,4
chronic_song_horse_neck_cart_lion_rotate_ring,IGHV4-34,10,0.014453876285270959,10.934461126906662,0.765721265464216,6
chuckle_fantasy_bean_clerk_pitch_hip_increase_rifle,IGHV3-7,01,0.6520730767182928,3.1770174480524234,0.40047659732412355,4
chuckle_thrive_treat_coral_exhibit_mango_hour_right,IGHV6-1,07,0.05409499833847756,2.3856276241258074,0.16810785313882104,6
churn_attend_pass_kit_diesel_smoke_leg_funny,IGHV4-39,07,0.04917482636762305,2.876405054132793,0.8865103535078734,5
claim_direct_popular_bounce_install_present_abandon_odor,IGHV3-48,02,0.2398212304447564,0.0,0.1774333266168573,8
claim_vocal_fade_step_forest_cake_patrol_hobby,IGHV3-74,01,0.011541135427609636,0.0,0.015118778258858767,8
clap_such_update_nuclear_hood_jaguar_identify_chuckle,IGHV5-51,07,0.29065968382769686,7.494100265580237,0.2811626079114877,4
clarify_zoo_siren_hobby_build_club_fashion_relief,IGHV3-13,06,0.01865750205157299,0.0,-0.0012131673142170563,18
claw_warfare_hybrid_elephant_about_runway_decade_initial,IGHV4-31,02,0.5914151837953963,0.0,0.1927924777165655,4
clerk_badge_spoon_common_sadness_carpet_assist_margin,IGHV4-39,09,0.14450550171064372,1.30497924382486,0.0495146530129168,4
clever_guard_wolf_lion_fossil_keen_early_sense,IGHV3-13,03,1.3524501432899287,0.0,0.3451375668311297,5
clinic_caution_pill_thumb_erase_taxi_dream_gravity,IGHV1-3,07,0.0,0.0,-0.001135589875896903,7
clip_rifle_appear_rain_burden_forest_gloom_boss,IGHV3-13,02,0.0,0.5291578349831104,0.004138395145524165,4
clip_wet_shrimp_match_attract_decide_wood_world,IGHV5-10-1,04,0.0,0.0,-0.922521121290659,4
clock_dad_month_extend_enemy_belt_save_crisp,IGHV4-39,06,0.013443175082782931,0.0,0.04313653798886552,4
cloth_banner_arena_remove_amount_exclude_inhale_amateur,IGHV3-43D,05,0.0,1.540159858002299,-0.15217887360807536,5
cloth_expose_kick_task_age_shove_spoon_rail,IGHV1-58,02,0.2219746463998909,4.581191892494232,0.03794744891321178,4
clutch_silent_waste_country_bitter_flush_ethics_meadow,IGHV3-53,02,0.10717706010478334,3.4662302377048495,0.40960083218674737,9
coconut_armor_occur_oyster_usage_torch_bridge_version,IGHV3-74,02,0.03612050316855812,1.217764641051751,0.1662972376577171,6
code_fire_reform_merit_alert_swear_bike_bullet,IGHV1-2,07,0.06896183478180723,0.0,0.7949144886713934,4
coffee_flee_orchard_tent_prevent_blanket_tonight_chest,IGHV2-5,04,0.08327672841699438,0.0,0.9432337634115215,4
coffee_path_sugar_shadow_huge_idea_soon_car,IGHV3-7,10,0.1114781260216484,0.0,0.29091982747992806,4
coin_bargain_culture_follow_donor_chunk_normal_canvas,IGHV3-9,07,0.1201895810343461,4.01467404320459,0.2449996724047644,9
collect_chapter_lab_sword_neither_moral_hurdle_raccoon,IGHV4-4,01,0.0,0.0,-0.2627807116348706,4
collect_cruel_spider_year_vast_ice_bar_relief,IGHV3-23,02,0.0,0.0,-0.00003464173812539606,6
